aluguel,areaTotal,areaUsavel,bairro,banheiros,cidade,codImovel,condominio,garagem,idadeImovel,lat,lon,quartos,suite,valorDeVenda
3250.0,130,130,Jardim Anália Franco,2,São Paulo,2947779677,1324.0,2,NaN,-23.5517895,-46.5599751,3,1,0.0
1800.0,40,40,Bom Retiro,1,São Paulo,2948905932,210.0,0,NaN,-23.5298547,-46.6485132,1,0,0.0
5810.0,140,140,Perdizes,3,São Paulo,2948041783,2300.0,4,NaN,-23.5317143,-46.680006,2,1,0.0
1890.0,25,25,Cambuci,1,São Paulo,2948846124,200.0,0,NaN,-23.5815928,-46.6164882,1,0,0.0
1855.0,30,30,Vila Clementino,1,São Paulo,2938267514,1245.0,1,20,-23.5929597,-46.6477089,1,1,0.0
2600.0,43,43,Aclimação,1,São Paulo,2935464692,680.0,1,1,-23.5720218,-46.63155389999997,1,1,0.0
2000.0,120,80,Centro,2,Guarulhos,2948374982,580.0,2,6,-23.4717053,-46.53194789999998,3,1,0.0
3500.0,100,100,Casa Verde,2,São Paulo,2948202168,885.0,2,NaN,-23.5054476,-46.6702451,3,1,0.0
2000.0,156,156,Santo Antônio,4,São Caetano do Sul,2948298103,1800.0,2,NaN,-23.6171051,-46.5689645,3,3,0.0
1409.0,30,30,Jardins,1,São Paulo,2929764197,1876.0,1,19,-23.5665476,-46.6545171,1,0,270000.0
2300.0,26,26,Bom Retiro,1,São Paulo,2948663501,250.0,0,NaN,-23.5228954,-46.6460582,1,0,0.0
2000.0,42,42,Bosque,1,Campinas,2947398786,472.0,1,NaN,-22.9127135,-47.0576016,1,0,0.0
1800.0,70,70,Planalto,2,São Bernardo do Campo,2940755287,458.0,1,NaN,-23.695938110351562,-46.581787109375,2,1,400000.0
2800.0,60,60,Vila Romana,1,São Paulo,2948357194,641.0,1,NaN,-23.52559471130371,-46.70055389404297,2,1,0.0
